pat_pk;pat_nam;pat_mot;pat_ali;pat_rel_cod;pat_rel_dsc;pat_gen;pat_civ_cod;pat_civ_dsc;pat_rac_cod;pat_rac_dsc;pat_fat;pat_cpl;pat_bir_dat;pat_ntl_cod;pat_ntl_dsc;pat_nid;pat_ssn;pat_dl;pat_dl_uf;pat_adr_str;pat_adr_num;pat_adr_cpl;pat_adr_cit;pat_adr_uf_cod;pat_adr_uf_dsc;pat_adr_zip;pat_adr_prv;pat_adr_ctr;pat_tel_res;pat_tel_com;pat_tel_mob;pat_ema;pat_dth_dat;pat_dth_loc;pat_tr1_dat;pat_tr2_dat;pat_tr3_dat
1501;Saul Galindo;;Saul;;;M;S;SOLTERO(A);;;;;1989-03-16;;;374999274970822;5532942-7;;;Passeig Daniel;66;3º F;;;;24158;Vall Téllez;CHILE;;;+34 640 184469;ane44@zoom-ly.xyz;;;2024-01-30 11:39:37.000;2024-01-30 11:39:37.000;2024-01-30 11:39:37.000
1502;Alex Abrego;;Alex;;;M;C;CASADO(A);;;;;1971-12-21;;;4916050546219429;39498317-9;;;Plaza Pacheco;95;1º E;;;;37934;Beltrán del Pozo;CHILE;;;+34 945 89 4853;julia.roca@lienquan.live;;;2024-01-30 11:39:39.000;2024-01-30 11:39:39.000;2024-01-30 11:39:39.000
1503;Carlota Luján;;Carlota;;;F;S;SOLTERO(A);;;;;1982-09-19;;;4532275223595486;39781625-7;;;Plaça Aina;15;3º F;;;;98831;El Alcala del Mirador;CHILE;;;+34 606 203580;opozo@nhancodelienquan.com;;;2024-01-30 11:39:40.000;2024-01-30 11:39:40.000;2024-01-30 11:39:40.000
1504;Raul Toledo;;Raul;;;M;S;SOLTERO(A);;;;;1981-07-14;;;5594925651530676;5464130-3;;;Ruela Celia;69;4º D;;;;79565;Solano Alta;CHILE;;;+34 981 688246;carlota.banuelo@khongchochuoclai.com;;;2024-01-30 11:39:42.000;2024-01-30 11:39:42.000;2024-01-30 11:39:42.000
1505;Alba Rico;;Alba;;;F;U;UNION LIBRE;;;;;1969-01-21;;;4929788120000;6977078-9;;;Avenida Pablo;042;Ático 6º;;;;32517;Vall Aguilar del Barco;CHILE;;;+34 977-119097;otirado@sandypil767676.store;;;2024-01-30 11:39:43.000;2024-01-30 11:39:43.000;2024-01-30 11:39:43.000
1506;Joan Vega;;Joan;;;F;S;SOLTERO(A);;;;;1997-02-25;;;6011043493555746;31972254-8;;;Ronda Zelaya;35;23º D;;;;52716;Adorno del Puerto;CHILE;;;697 254449;ignacio13@nusahomeinteriors.com;;;2024-01-30 11:39:45.000;2024-01-30 11:39:45.000;2024-01-30 11:39:45.000
1507;Leo Serna;;Leo;;;M;S;SOLTERO(A);;;;;1997-11-10;;;4929287168815;13814271-K;;;Travesia Valeria;929;33º C;;;;71720;L' Curiel;CHILE;;;+34 640-63-3087;padilla.guiller@enunal.com;;;2024-01-30 11:39:46.000;2024-01-30 11:39:46.000;2024-01-30 11:39:46.000
1508;Izan Covarrubias;;Izan;;;M;S;SOLTERO(A);;;;;1975-08-26;;;6011772469713372;11937539-8;;;Camino Niño;05;5º;;;;52979;Madera del Penedès;CHILE;;;672-220305;jan.padron@ranchodasimpex.com;;;2024-01-30 11:39:48.000;2024-01-30 11:39:48.000;2024-01-30 11:39:48.000
1509;Irene Quintero;;Irene;;;F;C;CASADO(A);;;;;1987-08-13;;;4024007158526722;39231452-0;;;Praza Abril;1;7º E;;;;35109;Los Aguado;CHILE;;;934 714315;erika87@mediapromail.com;;;2024-01-30 11:39:49.000;2024-01-30 11:39:49.000;2024-01-30 11:39:49.000
1510;Nil Muñóz;;Nil;;;F;C;CASADO(A);;;;;1962-12-31;;;4556452019061228;38514878-K;;;Paseo Alicia;412;6º D;;;;64956;Domenech del Penedès;CHILE;;;646 05 8298;aya38@dmxs8.com;;;2024-01-30 11:39:51.000;2024-01-30 11:39:51.000;2024-01-30 11:39:51.000
